event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
TUR12277,2020-06-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Lawyers (Turkey),6,,,0,60,,792,Middle East,Turkey,Manisa,Sehzadeler,,Manisa,38.6120,27.4265,1,Bianet,National,"On 22 June 2020, Manisa Bar Association lawyers held a demonstration in Manisa town center to protest the ongoing police intervention in the demonstration march of Bar associations in Ankara town center against a proposed bill that would change election laws for bar associations.",0,crowd size=no report,1618500801
TUR12274,2020-06-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Lawyers (Turkey),6,,,0,60,,792,Middle East,Turkey,Istanbul,Fatih,,Istanbul,41.0110,28.9578,1,Bianet,National,"On 22 June 2020, Istanbul Bar Association lawyers held a demonstration outside their association building in Istanbul town center to protest the ongoing police intervention in the demonstration march of Bar associations in Ankara town center against a proposed bill that would change election laws for bar associations.",0,crowd size=no report,1618500766
TUR12275,2020-06-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Lawyers (Turkey),6,,,0,60,,792,Middle East,Turkey,Gaziantep,Sahinbey,,Gaziantep,37.0594,37.3825,1,Bianet,National,"On 22 June 2020, Gaziantep Bar Association lawyers held a demonstration outside the Gaziantep courthouse building in Gaziantep town center to protest the ongoing police intervention in the demonstration march of Bar associations in Ankara town center against a proposed bill that would change election laws for bar associations.",0,crowd size=no report,1618500766
TUR12264,2020-06-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),,6,,,0,60,,792,Middle East,Turkey,Diyarbakir,Yenisehir,,Diyarbakir,37.9136,40.2172,1,Ihlas News Agency,National,"On 22 June 2020, families who claim their children have been kidnapped by the PKK continued their sit-in protest in front of the HDP provincial building in Diyarbakir city center for the 294th day. The families accused HDP of working with PKK, and demanded their children be returned.",0,crowd size=no report,1618500770
TUR12273,2020-06-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Lawyers (Turkey),6,,,0,60,,792,Middle East,Turkey,Sanliurfa,Karakopru,,Sanliurfa,37.1671,38.7939,1,Mezopotamya Agency,National,"On 22 June 2020, Sanliurfa Bar Association lawyers gathered and held a sit-in outside their association building in Sanliurfa town center to protest the ongoing police intervention in the demonstration march of Bar associations in Ankara town center against a proposed bill that would change election laws for bar associations.",0,crowd size=no report,1618500775
TUR12272,2020-06-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Lawyers (Turkey),6,,,0,60,,792,Middle East,Turkey,Diyarbakir,Yenisehir,,Diyarbakir,37.9136,40.2172,1,Mezopotamya Agency,National,"On 22 June 2020, Diyarbakir Bar Association lawyers gathered and held a sit-in outside their association building in Diyarbakir town center to protest the ongoing police intervention in the demonstration march of Bar associations in Ankara town center against a proposed bill that would change election laws for bar associations.",0,crowd size=no report,1618500775
TUR12271,2020-06-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Lawyers (Turkey),6,,,0,60,,792,Middle East,Turkey,Antalya,Muratpasa,,Antalya,36.9081,30.6956,1,Mezopotamya Agency,National,"On 22 June 2020, Antalya Bar Association lawyers gathered and held a sit-in outside the Antalya courthouse in Antalya town center to protest the ongoing police intervention in the demonstration march of Bar associations in Ankara town center against a proposed bill that would change election laws for bar associations.",0,crowd size=no report,1618500775
TUR12303,2020-06-22,2020,1,Strategic developments,Strategic developments,Looting/property destruction,HBDH: Peoples United Revolutionary Movement,,3,Civilians (Turkey),Labor Group (Turkey),7,37,,792,Middle East,Turkey,Istanbul,Esenyurt,,Esenyurt,41.0270,28.6773,2,Takvim; Peoples' United Revolutionary Movement,Other-National,"Property destruction: On 22 June 2020, HBDH's Zeynep Kinaci Vengeance units carried out an arson attack targeting a chain supermarket store in Esenyurt district of Istanbul. The attack caused significant material damage.",0,,1607976780
TUR12326,2020-06-22,2020,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,PKK: Kurdistan Workers Party,,2,Military Forces of Turkey (2016-),,1,12,,792,Middle East,Turkey,Hakkari,Semdinli,,Semdinli,37.3051,44.5742,2,People's Defense Forces,Other,"On 22 June 2020, PKK militants carried out a remote explosive attack targeting a Turkish Army vehicle on the road between Xapuske and Silort military outposts (Kurdish names) in Semdinli district of Hakkari. Source reported that the number of casualties could not be identified.",0,,1607988914
TUR12317,2020-06-22,2020,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,PKK: Kurdistan Workers Party,,2,Military Forces of Turkey (2016-),,1,12,,792,Middle East,Turkey,Hakkari,Yuksekova,,Yuksekova,37.5736,44.2872,2,People's Defense Forces,Other,"On 22 June 2020, PKK militants carried out a remote explosive attack targeting Turkish Army units near Memista military outpost in Geliye Doski area (Kurdish names) in Yuksekova district of Hakkari. One soldier was killed and 2 others were injured in the attack  (PKK's claim of fatalities among Turkish forces is coded as 0 fatalities).",0,,1711410118
TUR12284,2020-06-22,2020,1,Political violence,Battles,Armed clash,PKK: Kurdistan Workers Party,,2,Military Forces of Turkey (2016-),,1,12,,792,Middle East,Turkey,Hakkari,Cukurca,,Cukurca,37.2481,43.6136,2,People's Defense Forces,Other,"On 22 June 2020, PKK militants attacked Turkish Army units in Sifreza area (Kurdish name) in Cukurca district of Hakkari, killing 2 soldiers as reported by HPG  (PKK's claim of fatalities among Turkish forces is coded as 0 fatalities).",0,,1712617433
TUR12267,2020-06-22,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (Turkey),IHD: Human Rights Association; Lawyers (Turkey),6,Police Forces of Turkey (2016-),,1,16,,792,Middle East,Turkey,Ankara,Yenimahalle,,Yenimahalle,39.9995,32.7273,1,ANF News; Mezopotamya Agency,National-International,"On 22 June 2020, hundreds of lawyers of various Bar Associations from all over Turkey gathered on Eskisehir-Ankara highway in Yenimahalle, Ankara and held a demonstration march to Ankara town center in protest of a proposed bill that would change election laws for bar associations. Police blocked the road to prevent protesters from entering the city. The lawyers then started a sit-in protest, camping out on the road surrounded by police barricades. Throughout the course of the event, police intervention continued as another group of Ankara Bar Association lawyers attempted to join the protests for support. Police used physical force and moved them out of the area by force. IHD members also supported the event.",0,crowd size=hundreds,1715049775
TUR12268,2020-06-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Lawyers (Turkey),6,,,0,60,,792,Middle East,Turkey,Izmir,Konak,,Izmir,38.4127,27.1384,1,Bianet; Mezopotamya Agency,National,"On 22 June 2020, Izmir Bar Association lawyers gathered and held a sit-in outside the Izmir courthouse in Izmir town center to protest the ongoing police intervention in the demonstration march of Bar associations in Ankara town center against a proposed bill that would change election laws for bar associations.",0,crowd size=no report,1715049775
TUR12270,2020-06-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Lawyers (Turkey),6,,,0,60,,792,Middle East,Turkey,Mersin,Akdeniz,,Mersin,36.7970,34.6307,1,Bianet; Mezopotamya Agency,National,"On 22 June 2020, Mersin Bar Association lawyers gathered and held a sit-in outside the Mersin courthouse in Mersin town center to protest the ongoing police intervention in the demonstration march of Bar associations in Ankara town center against a proposed bill that would change election laws for bar associations.",0,crowd size=no report,1715049775
TUR12316,2020-06-22,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (Turkey),Labor Group (Turkey),6,Police Forces of Turkey (2016-),,1,16,,792,Middle East,Turkey,Ankara,Cankaya,,Cankaya,39.9179,32.8627,1,Human Rights Foundation of Turkey,Other,"On 22 June 2020, former public workers who were dismissed by a government decree held a protest at Yuksel Street in Cankaya, Ankara to demand their jobs back. Police intervened in the protest and moved the protesters out of the area by force.",0,crowd size=no report,1715049775
